1,Apricot Hotel,"136 Hang Trong Street, Hà Nội, Thành Phố Hà Nội",No description available,https://ss3.4sqi.net/img/categories_v2/travel/hotel_bg_64.png,NULL
2,Sofitel Legend Metropole Hanoi,"15 Ngo Quyen Street (Lê Phụng Hiếu), Hoàn Kiếm, Thành Phố Hà Nội",No description available,https://ss3.4sqi.net/img/categories_v2/travel/hotel_bg_64.png,NULL
3,Hanoi La Siesta Hotel & Spa,"94 Mã Mây, Hoàn Kiếm, Thành Phố Hà Nội",No description available,https://ss3.4sqi.net/img/categories_v2/shops/spa_bg_64.png,NULL
4,Meliá,"44 Lý Thường Kiệt, Hoàn Kiếm, Thành Phố Hà Nội",No description available,https://ss3.4sqi.net/img/categories_v2/travel/hotel_bg_64.png,NULL
5,Mövenpick Hotel Hanoi,"83A Lý Thường Kiệt, Hà Nội, Thành Phố Hà Nội",No description available,https://ss3.4sqi.net/img/categories_v2/travel/hotel_bg_64.png,NULL
6,Oriental Suites Hotel,"58 Hang Dao, Hoàn Kiếm, Thành Phố Hà Nội",No description available,https://ss3.4sqi.net/img/categories_v2/travel/hotel_bg_64.png,NULL
7,InterContinental Hanoi Westlake,"1A Nghi Tàm, Hà Nội, Thành Phố Hà Nội",No description available,https://ss3.4sqi.net/img/categories_v2/travel/hotel_bg_64.png,NULL
8,Hotel Nikko Hanoi,"84 Tran Nhan Tong Street, Hà Nội, Thành Phố Hà Nội",No description available,https://ss3.4sqi.net/img/categories_v2/travel/hotel_bg_64.png,NULL
9,Lotte Hotel Hanoi,"54 Lieu Giai Street, Hà Nội, Thành Phố Hà Nội",No description available,https://ss3.4sqi.net/img/categories_v2/travel/hotel_bg_64.png,NULL
10,Hanoi Inner Hotel,"19 Au Trieu, Hà Nội, Thành Phố Hà Nội",No description available,https://ss3.4sqi.net/img/categories_v2/travel/hotel_bg_64.png,NULL
11,Pasteur Street Brewing Company,"Hà Nội, Thành Phố Hà Nội",No description available,https://ss3.4sqi.net/img/categories_v2/food/brewery_bg_64.png,NULL
12,Duong's 2 Restaurant & Cooking Class,"101 Ma May Street., Hoàn Kiếm, Thành Phố Hà Nội",No description available,https://ss3.4sqi.net/img/categories_v2/food/vietnamese_bg_64.png,NULL
13,Bánh Cuốn Bà Hoành - Tô Hiến Thành,"66 Tô Hiến Thành (Bùi Thị Xuân), Hai Bà Trưng, Thành Phố Hà Nội",No description available,https://ss3.4sqi.net/img/categories_v2/food/diner_bg_64.png,NULL
14,Chả Cá Thăng Long,"31, Đường Thành (Hàng Điếu), Hoàn Kiếm, Thành Phố Hà Nội",No description available,https://ss3.4sqi.net/img/categories_v2/food/diner_bg_64.png,NULL
15,Phở 10 Lý Quốc Sư,"10 Lý Quốc Sư (Chân Cầm), Hoàn Kiếm, Thành Phố Hà Nội",No description available,https://ss3.4sqi.net/img/categories_v2/food/diner_bg_64.png,NULL
16,Bánh Mì 25 - Hàng Cá,"25 Hàng Cá (Thuốc Bắc), Hoàn Kiếm, Thành Phố Hà Nội",No description available,https://ss3.4sqi.net/img/categories_v2/food/deli_bg_64.png,NULL
17,Cộng Caphe - Nhà Thờ,"27 Nhà Thờ (Nha Chung), Hà Nội, Thành Phố Hà Nội",No description available,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_bg_64.png,NULL
18,Cà Phê Giảng,"39 Nguyễn Hữu Huân, Hoàn Kiếm, Thành Phố Hà Nội",No description available,https://ss3.4sqi.net/img/categories_v2/food/cafe_bg_64.png,NULL
19,Pizza 4Ps 11B Bảo Khánh,"11B Bảo Khánh, Hà Nội, Thành Phố Hà Nội",No description available,https://ss3.4sqi.net/img/categories_v2/food/pizza_bg_64.png,NULL
20,Hidden Gem Coffee,"3B Hàng Tre, Hà Nội, Thành Phố Hà Nội",No description available,https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_bg_64.png,NULL
21,Temple of Literature (Văn Miếu Quốc Tử Giám),"Quốc Tử Giám (Văn Miếu), Hà Nội, Thành Phố Hà Nội",No description available,https://ss3.4sqi.net/img/categories_v2/building/default_bg_64.png,NULL
22,Công Viên Thống Nhất,"354A, Lê Duẩn (Đại Cổ Việt), Hai Bà Trưng, Thành Phố Hà Nội",No description available,https://ss3.4sqi.net/img/categories_v2/parks_outdoors/park_bg_64.png,NULL
23,Hanoi Flag Tower (Cột Cờ Hà Nội),"28A, Điện Biên Phủ (btwn. Hoàng Diệu & Nguyễn Tri Phương), Ba Đình, Thành Phố Hà Nội",No description available,https://ss3.4sqi.net/img/categories_v2/building/government_monument_bg_64.png,NULL
24,Sky Walk Lotte Centre,"2 Dao Tan 65th Floor Lotte Centre (Lieu Giai), Hà Nội, Thành Phố Hà Nội",No description available,https://ss3.4sqi.net/img/categories_v2/parks_outdoors/sceniclookout_bg_64.png,NULL
25,Ho Chi Minh Mausoleum (Lăng Chủ Tịch Hồ Chí Minh),"9 Chùa Một Cột, Hà Nội, Thành Phố Hà Nội",No description available,https://ss3.4sqi.net/img/categories_v2/building/government_monument_bg_64.png,NULL
26,Ly Thai To Park (Vườn Hoa Lý Thái Tổ),"Đinh Tiên Hoàng (Lê Lai & Lê Thạch), Hà Nội, Thành Phố Hà Nội",No description available,https://ss3.4sqi.net/img/categories_v2/parks_outdoors/park_bg_64.png,NULL
27,Vườn hoa Hàng Trống,"42, Nhà Chung, Hà Nội",No description available,https://ss3.4sqi.net/img/categories_v2/parks_outdoors/park_bg_64.png,NULL
28,Phủ Chủ Tịch,"Hùng Vương, Hà Nội, Thành Phố Hà Nội",No description available,https://ss3.4sqi.net/img/categories_v2/building/medical_opticalshop_bg_64.png,NULL
29,Cầu Long Biên,"Cầu Long Biên, Hoàn Kiếm, Thành Phố Hà Nội",No description available,https://ss3.4sqi.net/img/categories_v2/parks_outdoors/bridge_bg_64.png,NULL
30,Uncle Ho's Stilt House (Nhà Sàn Bác Hồ),"Hùng Vương, Ba Đình, Thành Phố Hà Nội",No description available,https://ss3.4sqi.net/img/categories_v2/arts_entertainment/historicsite_bg_64.png,NULL
31,ibis Saigon Airport,"2 Hong Ha Street, Thành phố Hồ Chí Minh, Thành phố Hồ Chí Minh",No description available,https://ss3.4sqi.net/img/categories_v2/travel/hotel_bg_64.png,NULL
32,Hotel Des Arts Saigon Mgallery Collection,"76 - 78 Nguyen Thi Minh Khai, Thành phố Hồ Chí Minh, Thành phố Hồ Chí Minh",No description available,https://ss3.4sqi.net/img/categories_v2/shops/spa_bg_64.png,NULL
33,Park Hyatt Saigon,"2 công trường Lam Sơn, Thành phố Hồ Chí Minh, Thành phố Hồ Chí Minh",No description available,https://ss3.4sqi.net/img/categories_v2/travel/hotel_bg_64.png,NULL
34,Pullman Saigon Centre,"148 Trần Hưng Đạo (Nguyen Cu Trinh St.), Thành phố Hồ Chí Minh, Thành phố Hồ Chí Minh",No description available,https://ss3.4sqi.net/img/categories_v2/travel/hotel_bg_64.png,NULL
35,Le Méridien Saigon,"3C Ton Duc Thang Street, Thành phố Hồ Chí Minh, Thành phố Hồ Chí Minh",No description available,https://ss3.4sqi.net/img/categories_v2/shops/spa_bg_64.png,NULL
36,InterContinental Saigon,"Corner Hai Ba Trung St & Leduan Blvd (Le Duna Blv), Thành phố Hồ Chí Minh, Thành phố Hồ Chí Minh",No description available,https://ss3.4sqi.net/img/categories_v2/travel/hotel_bg_64.png,NULL
37,Silverland Sakyo Hotel & Spa,"10A Le Thanh Ton Street, Thành phố Hồ Chí Minh, Thành phố Hồ Chí Minh",No description available,https://ss3.4sqi.net/img/categories_v2/travel/hotel_bg_64.png,NULL
38,Sofitel Saigon Plaza,"17 Le Duan, Thành phố Hồ Chí Minh, Thành phố Hồ Chí Minh",No description available,https://ss3.4sqi.net/img/categories_v2/travel/hotel_bg_64.png,NULL
39,The Reverie Saigon,"22-36 Nguyen Hue Boulevard, Thành phố Hồ Chí Minh, Thành phố Hồ Chí Minh",No description available,https://ss3.4sqi.net/img/categories_v2/travel/hotel_bg_64.png,NULL
40,Hotel Nikko Saigon,"235 Nguyen Van Cu St., Dist. 1 (http://internetworks.tumblr.com/), Thành phố Hồ Chí Minh, Thành phố Hồ Chí Minh",No description available,https://ss3.4sqi.net/img/categories_v2/travel/hotel_bg_64.png,NULL
41,Phở Hòa Pasteur,"260C Pasteur, Thành phố Hồ Chí Minh",No description available,https://ss3.4sqi.net/img/categories_v2/food/vietnamese_bg_64.png,NULL
